,@status,@severity,cwe->@id,results->result->description->#text,results->result->tool->@category,results->result->tool->@name,rule->@code,rule->@name,escalated_predicted,escalated_values_predicted,escalated_binary_predicted,risk_level
221,false-positive,medium,665,'require' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,FALSE,0.08768303,0,Medium
222,escalated,high,79,HTML passed in to function 'options.usage',xss,ESLint,rule-396ebe8bb0c3dc5d4eb2b5368a97688fdb0f2587416453645c3d06db2b216479,Cross-site Scripting (XSS),escalated,0.7212969,1,High
223,false-positive,medium,665,'require' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,FALSE,0.08768303,0,Medium
224,false-positive,medium,665,'require' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,FALSE,0.08768303,0,Medium
225,false-positive,medium,665,'require' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,FALSE,0.08768303,0,Medium
226,false-positive,medium,665,'require' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,FALSE,0.08768303,0,Medium
227,escalated,high,22,Found fs.existsSync with non literal argument at index 0,security,ESLint,rule-48889f368c09a1c977445b9e5aed72f03394e07276cc7d178420e094592c07ce,Path Traversal,escalated,0.7798098,1,High
228,false-positive,medium,665,'require' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,FALSE,0.08768303,0,Medium
229,false-positive,medium,665,'require' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,FALSE,0.08768303,0,Medium
230,false-positive,medium,665,'process' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,FALSE,0.109173715,0,Medium
231,false-positive,medium,665,'require' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,FALSE,0.08768303,0,Medium
232,false-positive,high,77,Generic Object Injection Sink,security,ESLint,rule-5e8e5af630e323f31857c1cc395ce98e2bf222272a7adf06b13a4ba4154b1893,Command Injection,escalated,0.72799146,1,High
233,false-positive,medium,665,'require' is not defined.,,ESLint,rule-05fd548cb946f6aefd3831fe4f1fd046e1827757e07f877f3a087b0ed98a03bf,Initialization,FALSE,0.08768303,0,Medium
234,escalated,high,22,Found fs.open with non literal argument at index 0,security,ESLint,rule-48889f368c09a1c977445b9e5aed72f03394e07276cc7d178420e094592c07ce,Path Traversal,escalated,0.8107625,1,High
